 time energy energy_var energy_MC zPol zPol_var zPol_MC zz1 zz1_var zz1_MC zz2 zz2_var zz2_MC xPol xPol_var xPol_MC xx1 xx1_var xx1_MC xx2 xx2_var xx2_MC tdvpErr tdvpRes dt
10 0.00450080084697756 -15.998923847373256 14.982280124520482 0.0 -4.6477738324668394e-11 0.06251259793151082 0.0 -1.2381245049509007e-05 0.05850818099544533 0.0 -0.0006208073517866034 0.05471947464786536 0.0 0.9999451217058779 1.372147899174352e-05 0.0 0.9374475648682222 1.3220637552690787e-05 0.0 0.8749017355683006 4.583054511682441e-05 0.0 3.377954740879652e-05 3.436387927598379e-07 0.001189867231318373
11 0.0068805353096143065 -15.999335593972313 14.98368887116353 0.0 -8.366023152017732e-11 0.0625330620151795 0.0 0.00010227988044416748 0.0585206575911571 0.0 -0.0004908032057364007 0.054708374745171616 0.0 0.9998561947428253 3.595638142711115e-05 0.0 0.9373646773064217 3.315445631103494e-05 0.0 0.8747416394977543 0.00012069077121989727 0.0 3.168379599882698e-05 3.034671939537303e-07 0.002379734462636746
12 0.010544088736788918 -16.000298723484903 14.97639204405947 0.0 -1.95186922180568e-11 0.06257151437511053 0.0 0.0003825473757993591 0.058507818468273326 0.0 -0.0005473056142408774 0.05470721376706068 0.0 0.9996361228420072 9.097690683788863e-05 0.0 0.9371589320667171 8.292113701137177e-05 0.0 0.8743458584280746 0.0003056046941255294 0.0 4.055167868211029e-05 3.5953651030784173e-07 0.0036635534271746125
13 0.017871195591138145 -16.001973570900994 14.953261169473292 0.0 4.1847027926200653e-10 0.06262326449164815 0.0 0.0012327450579851969 0.05844400634187839 0.0 -0.0009716076917018904 0.054718375997035766 0.0 0.9988906031233267 0.0002772690103567461 0.0 0.936461511552641 0.000251740072739345 0.0 0.8730066885579072 0.0009301967037171144 0.0 4.320988509587398e-05 4.0393937607482304e-07 0.007327106854349225
14 0.027460126124121347 -16.000210333529242 14.949381432185763 0.0 1.3515483870962797e-10 0.06274837972816458 0.0 0.0026730425521466917 0.05840096277919452 0.0 -0.0012370755305045802 0.054694217050574354 0.0 0.997340103293431 0.0006640947574265339 0.0 0.9350113671223763 0.0006020457077393443 0.0 0.8702244569562269 0.002223166224387189 0.0 4.2520455653560774e-05 4.423034146030766e-07 0.0095889305329832
15 0.036977935536274896 -16.000449834348256 14.945506799074835 0.0 -4.306967282818874e-11 0.0630124413148688 0.0 0.004906130849806886 0.058387938284656216 0.0 -0.0012316654777308495 0.054694686671467485 0.0 0.9951219837969592 0.0012160515186790124 0.0 0.9329382906674151 0.001100831685954865 0.0 0.8662508226499284 0.004058976629848938 0.0 3.64843765237044e-05 4.1929101566372704e-07 0.00951780941215355
16 0.056013554360581995 -16.002384616784898 14.93293392898454 0.0 -1.0049058807304334e-10 0.06383759542318243 0.0 0.011406417360772613 0.0583573850597298 0.0 -0.0011294784891222919 0.05471255630140348 0.0 0.9887426211882834 0.00279386439700662 0.0 0.9269765184645993 0.0025263393906849556 0.0 0.8548735816944426 0.009242452123080861 0.0 4.0958810918256816e-05 4.322639319847368e-07 0.0190356188243071
17 0.09277171953121173 -16.009578128771494 14.89416846845284 0.0 -4.3776859914856914e-10 0.06634043903248027 0.0 0.03135471086840297 0.058204440751383424 0.0 -0.0006835103739571699 0.05480343500690514 0.0 0.9692439221798155 0.007525398121278538 0.0 0.9087526077491999 0.006802680951917472 0.0 0.8205734655025085 0.02420930981682568 0.0 4.78920383789605e-05 4.6175080418510705e-07 0.036758165170629735
18 0.148344339863339 -16.017420975205262 14.846285394520367 0.0 -9.898545386133328e-10 0.07233754624354276 0.0 0.07738892561605855 0.05743582932713807 0.0 0.0011615926136692009 0.05540390617039198 0.0 0.9236998853342704 0.018029591350793617 0.0 0.866126192766574 0.01634128005481288 0.0 0.7432990536479858 0.05424798626748767 0.0 5.629149920327592e-05 5.162777993010488e-07 0.05557262033212728
19 0.20332070282899584 -16.02300695003987 14.812447581927724 0.0 -3.3822913220182826e-10 0.08057382904258227 0.0 0.13811750833196554 0.05556338575324189 0.0 0.0060142182779622305 0.05694295545906275 0.0 0.8633204260455263 0.03074969291012017 0.0 0.8093528580702705 0.028069488343305655 0.0 0.647083157208973 0.08444189888204716 0.0 6.072264900613966e-05 5.710183405612167e-07 0.05497636296565685
