psiR psiI
0.03124999999999967 -9.71445146547012e-17
0.03125000000000032 -7.37257477290143e-17
0.031249999999999906 -2.42861286636753e-17
0.031250000000000076 2.1163626406917047e-16
0.03125000000000013 -2.5934115965853266e-16
0.031250000000000194 4.969982758673552e-16
0.03124999999999987 8.517492267046123e-16
0.0312500000000005 -3.229330052065965e-16
0.03125000000000005 6.071532165918825e-18
0.03125000000000007 -3.651592916931179e-16
0.031250000000000125 -1.0755285551056204e-16
0.031249999999999962 7.11893137181522e-17
0.031249999999999778 -1.0286910212542466e-15
0.031249999999999733 -6.92534137675116e-17
0.031249999999999306 6.342582709040201e-17
0.03124999999999954 -3.729655473350135e-17
0.03125000000000055 5.178149575790769e-16
0.03125000000000008 -1.0009354456386177e-15
0.03125 2.949029909160572e-17
0.031250000000000035 8.314475410248212e-17
0.031249999999999698 -1.19522447494802e-15
0.03124999999999988 3.10623922417097e-17
0.031249999999999643 1.3258437316782112e-16
0.0312499999999993 -8.023096076392733e-16
0.03125000000000006 4.969982758673552e-16
0.031249999999999417 -3.636481849152162e-16
0.031250000000000555 -2.931140573314561e-16
0.031249999999999833 -8.153200337090993e-17
0.03124999999999943 -7.827397584259099e-16
0.03124999999999998 -7.45931094670027e-17
0.031249999999999646 5.750608322863116e-16
0.031249999999998997 -1.0390993621101074e-15
0.031249999999999625 -1.5404344466674047e-15
0.03125000000000068 -1.0625181290357943e-15
0.031249999999999927 -6.999609225566417e-16
0.03125000000000046 -5.681219383824043e-16
0.03125 -1.7694179454963432e-16
0.03125000000000014 5.80265002714242e-16
0.0312499999999999 -2.2898349882893854e-16
0.031249999999999816 9.113091954237457e-16
0.03124999999999972 -6.201636426617085e-16
0.03125000000000012 6.071532165918825e-18
0.03125000000000058 6.591949208711867e-17
0.03125000000000003 4.9290541266622245e-17
0.03125000000000067 -5.958775139980332e-16
0.03125000000000011 -1.554474864801092e-16
0.031249999999999722 -5.705613932704967e-17
0.031249999999999684 5.819997261902188e-16
0.03124999999999945 -1.0408340855860843e-17
0.031250000000000534 -6.392456008974534e-16
0.03125000000000055 2.1250362580715887e-16
0.03124999999999961 4.3243821760932547e-17
0.031249999999999764 -1.033895191682177e-15
0.031249999999999823 -6.719342963978914e-17
0.031249999999999424 -6.175632515136378e-17
0.031249999999999556 5.0306980803327406e-17
0.031249999999999573 -5.785302792382652e-16
0.031249999999999598 -3.944869604588508e-16
0.031249999999999934 -2.8796409701215e-16
0.031250000000000104 1.9949319973733282e-16
0.03124999999999878 -6.748006558913999e-16
0.03125000000000038 6.071532165918825e-17
0.03125000000000029 -7.19910242530375e-17
0.031249999999999126 1.0408340855860843e-17
0.0312499999999985 -1.317522480004385e-15
0.03125000000000087 -1.2047654540658925e-15
0.031250000000000666 -2.1510571102112408e-16
0.031249999999999428 8.74058510846014e-17
0.03125000000000014 -6.2363308961366215e-16
0.031250000000000326 1.2240642527361345e-16
0.031250000000000264 -3.8069048781397274e-17
0.03125000000000009 -8.673617379884035e-19
0.0312500000000001 -1.0009354456386177e-15
0.031249999999999643 -5.339018073133306e-17
0.03124999999999977 -1.0389367317842346e-16
0.03125000000000006 -3.5561831257524545e-16
0.0312499999999988 -6.913753966032721e-16
0.03125000000000038 2.42861286636753e-17
0.03124999999999996 -4.7704895589362195e-17
0.031249999999999778 1.3877787807814457e-17
0.03125000000000071 -2.3288662664988635e-15
0.031250000000000666 2.778268066994105e-19
0.0312500000000005 -3.5758342901287543e-17
0.031250000000000465 2.8709673527416157e-16
0.03124999999999944 -7.870088044800716e-16
0.03125000000000023 -8.413408858487514e-17
0.03125000000000017 5.022024462952857e-16
0.03125000000000005 3.7990444123892075e-16
0.031249999999999344 -1.3216941172696124e-15
0.031250000000000396 -5.455705331947058e-16
0.031250000000001006 -2.42861286636753e-16
0.03125000000000012 7.771561172376096e-16
0.03125000000000106 -2.3011106908832346e-15
0.03125000000000059 1.2437967322753707e-15
0.0312500000000012 1.8318679906315083e-15
0.03125000000000018 -1.1397133237167623e-15
0.03125000000000065 -9.35015953551499e-16
0.031249999999999913 2.896988204881268e-16
0.031250000000000465 -1.1622647289044608e-15
0.031250000000000576 -1.0972125985553305e-15
0.03125000000000075 -3.469446951953614e-17
0.03125000000000115 -3.0357660829594124e-17
0.031250000000000465 -8.673617379884035e-17
0.031249999999999424 -1.4632392519864368e-15
0.03125000000000052 -2.0122792321330962e-16
0.03125000000000137 -2.0209528495129803e-16
0.031249999999999886 -1.4137996329210978e-16
0.03124999999999994 -6.331740687315346e-17
0.03124999999999991 -6.843484112728504e-16
0.03124999999999943 -2.688821387764051e-17
0.031250000000000354 -3.920475055707584e-16
0.03125000000000136 -1.3219541563844195e-15
0.031249999999999865 1.214306433183765e-16
0.031250000000000736 1.708702623837155e-16
0.03125000000000026 1.249000902703301e-16
0.03125000000000038 -1.8995222061946038e-16
0.031249999999999917 -9.540979117872439e-18
0.03125000000000011 -3.5041414214731503e-16
0.0312499999999997 1.6132928326584306e-16
0.03124999999999993 -8.378172287881736e-17
0.03124999999999965 -1.8127860323957634e-16
0.03125000000000016 -2.975050761300224e-16
0.031249999999999934 1.474514954580286e-17
0.03125000000000036 -2.45029690981724e-17
0.03125000000000063 -1.5699247457590104e-16
0.031249999999999764 6.209722543003169e-17
0.031249999999999636 4.488258180911087e-16
0.031250000000000944 -1.2038980923279041e-15
0.031250000000000173 7.112366251504909e-17
0.03125000000000094 1.4224732503009818e-16
0.03125000000000025 1.3183898417423734e-16
0.03125000000000038 -1.448494102440634e-16
0.031249999999999764 2.2724877535296173e-16
0.03125000000000011 1.0061396160665481e-16
0.03124999999999997 1.93421667571414e-16
0.03125000000000021 2.778403592265666e-16
0.031249999999999733 2.42861286636753e-17
0.03125000000000008 -4.822531263215524e-16
0.03125000000000016 2.168404344971009e-17
0.0312499999999997 1.7658942884357653e-16
0.031250000000000534 2.3418766925686896e-16
0.03124999999999996 6.951275725720513e-17
0.03124999999999968 1.087454779002961e-16
0.03125000000000061 -2.454633718507182e-16
0.031250000000001686 2.749536709423239e-16
0.031249999999999594 -7.511352650979575e-16
0.031249999999999768 -4.822531263215524e-16
0.031250000000000125 2.822178254979768e-16
0.031250000000000014 1.734723475976807e-17
0.03124999999999996 4.3151246464923076e-17
0.031249999999999712 -7.697835424647081e-17
0.031249999999999667 -1.0737938316296436e-15
0.031249999999999896 7.28583859910259e-17
0.03124999999999937 -2.1638642483737258e-16
0.031249999999999858 2.233456475320139e-17
0.03124999999999992 -7.606762442158299e-16
0.031250000000000486 -4.6302209028709074e-17
0.031249999999999473 -1.5872719805187785e-16
0.031250000000000014 3.0878077872387166e-16
0.03125000000000014 -3.7903707950093235e-16
0.031250000000000625 -3.7643499428696714e-16
0.03125000000000042 -5.551115123125783e-17
0.031249999999999903 -1.5612511283791264e-16
0.03125000000000023 -6.938893903907228e-17
0.03125000000000038 1.3617579286417936e-16
0.03125000000000031 3.391384395534658e-16
0.03125000000000035 -4.458239333260394e-16
0.03125000000000021 3.9790219730218013e-16
0.031249999999999944 -7.025630077706069e-17
0.031250000000000194 -7.892991815694472e-17
0.0312500000000002 4.163336342344337e-17
0.03124999999999989 7.518942066186973e-17
0.031250000000000576 4.9439619065339e-17
0.031249999999999972 8.153200337090993e-17
0.031249999999999736 8.771195575407731e-17
0.031250000000000604 -2.688821387764051e-17
0.03124999999999989 -9.627715291671279e-17
0.03125000000000007 -2.1250362580715887e-16
0.03125000000000013 1.8214596497756474e-17
0.031249999999999827 1.5108357273585504e-16
0.0312500000000001 -1.1015494072452725e-16
0.031249999999999806 1.3018986099356907e-17
0.0312499999999995 -1.2533377113932431e-16
0.03125000000000007 -1.3964523981613297e-16
0.0312500000000001 -4.544975507059235e-16
0.03125000000000001 -2.112296882544884e-16
0.03124999999999948 -1.550951207740514e-16
0.031250000000000236 -4.336808689942018e-18
0.031249999999999806 -8.306343893954571e-17
0.03125000000000012 2.237793284010081e-16
0.03125000000000018 -2.688821387764051e-17
0.031250000000000014 -6.245004513516506e-17
0.03124999999999969 -7.138387103644561e-16
0.03125000000000015 1.3010426069826053e-17
0.03124999999999994 3.0357660829594124e-17
0.03125000000000028 -4.6444510563847796e-17
0.031250000000000465 -3.0878077872387166e-16
0.031249999999999906 6.776713704295222e-17
0.03124999999999934 -1.140038584368508e-16
0.031250000000000416 3.200564813177209e-16
0.031250000000000035 -9.289444213855802e-16
0.03125000000000006 -1.8566962203814263e-16
0.031249999999999487 -1.2495430037895439e-16
0.0312500000000002 -6.088879400678593e-16
0.031249999999999938 -3.1100339317746695e-16
0.03125000000000009 -2.185751579730777e-16
0.031249999999999913 -6.938893903907228e-17
0.031249999999999712 -4.727121472036799e-16
0.03125000000000045 -1.9949319973733282e-17
0.031250000000000194 -3.929618776373194e-17
0.03124999999999987 2.120970499924768e-17
0.031250000000000194 -7.199102425303749e-16
0.031250000000000534 -2.7950732006676304e-16
0.03125000000000032 -5.429684479807406e-16
0.03125000000000017 -1.1709383462843448e-16
0.03124999999999968 -1.97758476261356e-16
0.031249999999999195 -6.058657265120559e-16
0.031250000000000756 -4.839878497975292e-16
0.0312500000000001 3.0791341698588326e-16
0.03125000000000066 -1.2836953722228372e-16
0.03125000000000097 -2.0383000842727483e-16
0.031250000000001124 1.0755285551056204e-16
0.03125000000000021 2.437286483747414e-16
0.03125000000000125 -8.36136715420821e-16
0.031250000000001145 -8.864436962241484e-16
0.031249999999999088 1.205632815803881e-16
0.03125000000000046 -6.158268339717665e-17
0.03125000000000043 2.697495005143935e-16
0.031250000000000326 5.282232984349378e-16
0.03125000000000072 2.6194324487249787e-16
0.03125000000000092 -6.930220286527344e-16
0.03124999999999816 1.0511306180929075e-15
0.031249999999999244 4.761815941556335e-16
0.031249999999999934 1.9081958235744878e-17
0.03125000000000035 -4.432218481120742e-16
